,Yield_Curve,SP500_Returns,Negative_Returns
2014-04-22,2.28,0.004092120797696275,0
2014-04-23,2.27,-0.0022132957356812977,1
2014-04-24,2.27,0.0017169762022830604,0
2014-04-25,2.25,-0.008096411708656825,1
2014-04-28,2.2600000000000002,0.00323602017816893,0
2014-04-29,2.27,0.004760809444589897,0
2014-04-30,2.25,0.0029920195066894806,0
2014-05-01,2.2199999999999998,-0.00014331590541150074,1
2014-05-02,2.18,-0.0013484243608256063,1
2014-05-05,2.1999999999999997,0.0018712057582104258,0
2014-05-06,2.1799999999999997,-0.008988358642938232,1
2014-05-07,2.21,0.005616473561347535,0
2014-05-08,2.21,-0.001373648314086262,1
2014-05-09,2.22,0.0015194894515442314,0
2014-05-12,2.25,0.009672714109279834,0
2014-05-13,2.2199999999999998,0.00042179632509942167,0
2014-05-14,2.15,-0.0047010461408732995,1
2014-05-15,2.12,-0.009361778737960291,1
2014-05-16,2.14,0.0037469599379960083,0
2014-05-19,2.18,0.003844802061921504,0
2014-05-20,2.17,-0.006498397945975731,1
2014-05-21,2.17,0.008116059653038521,0
2014-05-22,2.19,0.002362250599831528,0
2014-05-23,2.17,0.00424837119350685,0
2014-05-27,2.13,0.005987803402208947,0
2014-05-28,2.07,-0.0011140691768964928,1
2014-05-29,2.08,0.005367110347788806,0
2014-05-30,2.11,0.0018437211918562735,0
2014-06-02,2.15,0.0007278133886472471,0
2014-06-03,2.19,-0.0003792266892471696,1
2014-06-04,2.1999999999999997,0.00189165592649565,0
2014-06-05,2.19,0.006525302404714051,0
2014-06-06,2.19,0.0046277686734073065,0
2014-06-09,2.19,0.0009387311227839756,0
2014-06-10,2.19,-0.0002459936349147318,1
2014-06-11,2.21,-0.0035370285884179786,1
2014-06-12,2.16,-0.007088878485922656,1
2014-06-13,2.15,0.0031345363735746368,0
2014-06-16,2.12,0.0008367077101065767,0
2014-06-17,2.1500000000000004,0.0021725892516177847,0
2014-06-18,2.13,0.007718886297045868,0
2014-06-19,2.16,0.0012774785639098063,0
2014-06-20,2.13,0.0017300508298119244,0
2014-06-23,2.15,-0.0001324591032518807,1
2014-06-24,2.0999999999999996,-0.006435308084642322,1
2014-06-25,2.09,0.0048974861280628446,0
2014-06-26,2.07,-0.0011788541129760244,1
2014-06-27,2.09,0.0019108735860047243,0
2014-06-30,2.0599999999999996,-0.0003722666449086365,1
2014-07-01,2.1100000000000003,0.006677787810614122,0
2014-07-02,2.1500000000000004,0.0006587882350557184,0
